schcode,year,school,complexname,complexareaname,schooltypename,classification,totalindex,classificationplace
238,2014,Mililani Middle,Mililani,Leilehua-Mililani-Waialua,Middle,Continuous Improvement,196,3
239,2013,Salt Lake Elementary,Moanalua,Aiea-Moanalua-Radford,Elementary,Continuous Improvement,211,3
239,2014,Salt Lake Elementary,Moanalua,Aiea-Moanalua-Radford,Elementary,Continuous Improvement,237,3
240,2013,Mililani Ike Elementary,Mililani,Leilehua-Mililani-Waialua,Elementary,Continuous Improvement,261,3
240,2014,Mililani Ike Elementary,Mililani,Leilehua-Mililani-Waialua,Elementary,Continuous Improvement,250,3
241,2013,Mililani Mauka Elementary,Mililani,Leilehua-Mililani-Waialua,Elementary,Continuous Improvement,312,3
241,2014,Mililani Mauka Elementary,Mililani,Leilehua-Mililani-Waialua,Elementary,Continuous Improvement,272,3
242,2013,Mililani Uka Elementary,Mililani,Leilehua-Mililani-Waialua,Elementary,Continuous Improvement,217,3
242,2014,Mililani Uka Elementary,Mililani,Leilehua-Mililani-Waialua,Elementary,Continuous Improvement,226,3
243,2013,Pearl Ridge Elementary,Aiea,Aiea-Moanalua-Radford,Elementary,Recognition,345,4
243,2014,Pearl Ridge Elementary,Aiea,Aiea-Moanalua-Radford,Elementary,Recognition,345,4
250,2013,August Ahrens Elementary,Waipahu,Pearl City-Waipahu,Elementary,Continuous Improvement,216,3
250,2014,August Ahrens Elementary,Waipahu,Pearl City-Waipahu,Elementary,Continuous Improvement,185,3
251,2013,Barbers Point Elementary,Kapolei,Campbell-Kapolei,Elementary,Continuous Improvement,124,3
251,2014,Barbers Point Elementary,Kapolei,Campbell-Kapolei,Elementary,Continuous Improvement,180,3
252,2013,James Campbell High,Campbell,Campbell-Kapolei,High,Continuous Improvement,254,3
252,2014,James Campbell High,Campbell,Campbell-Kapolei,High,Continuous Improvement,233,3
253,2013,Ewa Elementary,Campbell,Campbell-Kapolei,Elementary,Continuous Improvement,130,3
253,2014,Ewa Elementary,Campbell,Campbell-Kapolei,Elementary,Continuous Improvement,129,3
254,2013,Ewa Beach Elementary,Campbell,Campbell-Kapolei,Elementary,Continuous Improvement,262,3
254,2014,Ewa Beach Elementary,Campbell,Campbell-Kapolei,Elementary,Continuous Improvement,131,3
255,2013,Highlands Intermediate,Pearl City,Pearl City-Waipahu,Middle,Continuous Improvement,196,3
255,2014,Highlands Intermediate,Pearl City,Pearl City-Waipahu,Middle,Continuous Improvement,224,3
256,2013,Iroquois Point Elementary,Campbell,Campbell-Kapolei,Elementary,Continuous Improvement,184,3
256,2014,Iroquois Point Elementary,Campbell,Campbell-Kapolei,Elementary,Continuous Improvement,191,3
257,2013,Maili Elementary,Waianae,Nanakuli-Waianae,Elementary,Continuous Improvement,214,3
257,2014,Maili Elementary,Waianae,Nanakuli-Waianae,Elementary,Continuous Improvement,60,3
258,2013,Makaha Elementary,Waianae,Nanakuli-Waianae,Elementary,Continuous Improvement,165,3
258,2014,Makaha Elementary,Waianae,Nanakuli-Waianae,Elementary,Continuous Improvement,219,3
259,2013,Makakilo Elementary,Kapolei,Campbell-Kapolei,Elementary,Continuous Improvement,203,3
259,2014,Makakilo Elementary,Kapolei,Campbell-Kapolei,Elementary,Continuous Improvement,249,3
260,2013,Manana Elementary,Pearl City,Pearl City-Waipahu,Elementary,Continuous Improvement,250,3
260,2014,Manana Elementary,Pearl City,Pearl City-Waipahu,Elementary,Continuous Improvement,286,3
261,2013,Nanaikapono Elementary,Nanakuli,Nanakuli-Waianae,Elementary,Continuous Improvement,187,3
261,2014,Nanaikapono Elementary,Nanakuli,Nanakuli-Waianae,Elementary,Continuous Improvement,127,3
262,2013,Nanakuli Elementary,Nanakuli,Nanakuli-Waianae,Elementary,Continuous Improvement,192,3
262,2014,Nanakuli Elementary,Nanakuli,Nanakuli-Waianae,Elementary,Continuous Improvement,73,3
263,2013,Nanakuli High & Intermediate,Nanakuli,Nanakuli-Waianae,High,Continuous Improvement,181,3
263,2014,Nanakuli High & Intermediate,Nanakuli,Nanakuli-Waianae,High,Continuous Improvement,161,3
264,2013,Palisades Elementary,Pearl City,Pearl City-Waipahu,Elementary,Recognition,381,4
264,2014,Palisades Elementary,Pearl City,Pearl City-Waipahu,Elementary,Recognition,278,4
265,2013,Pearl City Elementary,Pearl City,Pearl City-Waipahu,Elementary,Focus,124,2
265,2014,Pearl City Elementary,Pearl City,Pearl City-Waipahu,Elementary,Focus,343,2
266,2013,Pearl City High,Pearl City,Pearl City-Waipahu,High,Focus,204,2
266,2014,Pearl City High,Pearl City,Pearl City-Waipahu,High,Focus,211,2
267,2013,Pearl City Highlands Elementary,Pearl City,Pearl City-Waipahu,Elementary,Continuous Improvement,318,3
267,2014,Pearl City Highlands Elementary,Pearl City,Pearl City-Waipahu,Elementary,Continuous Improvement,300,3
268,2013,Lehua Elementary,Pearl City,Pearl City-Waipahu,Elementary,Continuous Improvement,257,3
268,2014,Lehua Elementary,Pearl City,Pearl City-Waipahu,Elementary,Continuous Improvement,330,3
269,2013,Pohakea Elementary,Campbell,Campbell-Kapolei,Elementary,Continuous Improvement,221,3
269,2014,Pohakea Elementary,Campbell,Campbell-Kapolei,Elementary,Continuous Improvement,147,3
270,2013,Waianae Elementary,Waianae,Nanakuli-Waianae,Elementary,Priority,237,1
270,2014,Waianae Elementary,Waianae,Nanakuli-Waianae,Elementary,Priority,162,1
271,2013,Leihoku Elementary,Waianae,Nanakuli-Waianae,Elementary,Continuous Improvement,193,3
271,2014,Leihoku Elementary,Waianae,Nanakuli-Waianae,Elementary,Continuous Improvement,115,3
272,2013,Waianae High,Waianae,Nanakuli-Waianae,High,Focus,157,2
272,2014,Waianae High,Waianae,Nanakuli-Waianae,High,Focus,169,2
273,2013,Waianae Intermediate,Waianae,Nanakuli-Waianae,Middle,Focus,121,2
273,2014,Waianae Intermediate,Waianae,Nanakuli-Waianae,Middle,Focus,94,2
274,2013,Waipahu Elementary,Waipahu,Pearl City-Waipahu,Elementary,Continuous Improvement,217,3
274,2014,Waipahu Elementary,Waipahu,Pearl City-Waipahu,Elementary,Continuous Improvement,238,3
275,2013,Kamaile Academy PCS,Charter Schools,Charter Schools,High,Priority,166,1
275,2014,Kamaile Academy PCS,Charter Schools,Charter Schools,High,Priority,175,1
276,2013,Honowai Elementary,Waipahu,Pearl City-Waipahu,Elementary,Continuous Improvement,187,3
276,2014,Honowai Elementary,Waipahu,Pearl City-Waipahu,Elementary,Continuous Improvement,117,3
277,2013,Waipahu High,Waipahu,Pearl City-Waipahu,High,Continuous Improvement,227,3
277,2014,Waipahu High,Waipahu,Pearl City-Waipahu,High,Continuous Improvement,213,3
278,2013,Waipahu Intermediate,Waipahu,Pearl City-Waipahu,Middle,Continuous Improvement,153,3
278,2014,Waipahu Intermediate,Waipahu,Pearl City-Waipahu,Middle,Continuous Improvement,174,3
279,2013,Ilima Intermediate,Campbell,Campbell-Kapolei,Middle,Continuous Improvement,192,3
279,2014,Ilima Intermediate,Campbell,Campbell-Kapolei,Middle,Continuous Improvement,233,3
280,2013,Holomua Elementary,Campbell,Campbell-Kapolei,Elementary,Continuous Improvement,190,3
280,2014,Holomua Elementary,Campbell,Campbell-Kapolei,Elementary,Continuous Improvement,235,3
281,2013,Kaimiloa Elementary,Campbell,Campbell-Kapolei,Elementary,Focus,121,2
281,2014,Kaimiloa Elementary,Campbell,Campbell-Kapolei,Elementary,Focus,177,2
282,2013,Kapolei Elementary,Kapolei,Campbell-Kapolei,Elementary,Continuous Improvement,258,3
